time_s,beam_id,policy,offered_payload_mbps,offered_ip_mbps,virtual_backlog_mb,allocated_channels,beam_capacity_mbps,estimated_served_mb,estimated_utilization
12.000000,2,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
12.000000,3,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
12.000000,4,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
12.000000,5,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
12.000000,6,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
12.000000,7,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
12.000000,8,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
12.000000,9,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
12.000000,10,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
12.000000,11,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
12.000000,12,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
12.000000,13,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
12.000000,14,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
12.000000,15,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
12.000000,16,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
12.000000,17,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
12.000000,18,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
13.000000,0,round_robin,8.000000,8.224000,9.854500,3,3.300000,0.412500,1.000000
13.000000,1,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
13.000000,2,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
13.000000,3,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
13.000000,4,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
13.000000,5,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
13.000000,6,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
13.000000,7,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
13.000000,8,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
13.000000,9,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
13.000000,10,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
13.000000,11,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
13.000000,12,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
13.000000,13,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
13.000000,14,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
13.000000,15,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
13.000000,16,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
13.000000,17,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
13.000000,18,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
14.000000,0,round_robin,8.000000,8.224000,10.470000,3,3.300000,0.412500,1.000000
14.000000,1,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
14.000000,2,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
14.000000,3,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
14.000000,4,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
14.000000,5,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
14.000000,6,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
14.000000,7,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
14.000000,8,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
14.000000,9,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
14.000000,10,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
14.000000,11,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
14.000000,12,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
14.000000,13,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
14.000000,14,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
14.000000,15,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
14.000000,16,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
14.000000,17,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
14.000000,18,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
15.000000,0,round_robin,8.000000,8.224000,11.085500,3,3.300000,0.412500,1.000000
15.000000,1,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
15.000000,2,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
15.000000,3,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
15.000000,4,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
15.000000,5,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
15.000000,6,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
15.000000,7,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
15.000000,8,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
15.000000,9,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
15.000000,10,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
15.000000,11,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
15.000000,12,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
15.000000,13,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
15.000000,14,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
15.000000,15,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
15.000000,16,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
15.000000,17,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
15.000000,18,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
16.000000,0,round_robin,8.000000,8.224000,11.701000,3,3.300000,0.412500,1.000000
16.000000,1,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
16.000000,2,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
16.000000,3,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
16.000000,4,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
16.000000,5,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
16.000000,6,round_robin,2.000000,2.056000,0.000000,3,3.300000,0.257000,0.623030
16.000000,7,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
16.000000,8,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
16.000000,9,round_robin,2.000000,2.056000,0.000000,2,2.200000,0.257000,0.934545
