time_s,beam_id,policy,offered_payload_mbps,offered_ip_mbps,virtual_backlog_mb,allocated_channels,beam_capacity_mbps,estimated_served_mb,estimated_utilization
0.000000,0,round_robin,8.000000,8.224000,0.625000,3,3.000000,0.375000,1.000000
0.000000,1,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
0.000000,2,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
0.000000,3,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
0.000000,4,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
0.000000,5,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
0.000000,6,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
0.000000,7,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
0.000000,8,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
0.000000,9,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
0.000000,10,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
0.000000,11,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
0.000000,12,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
0.000000,13,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
0.000000,14,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
0.000000,15,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
0.000000,16,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
0.000000,17,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
0.000000,18,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
1.000000,0,round_robin,8.000000,8.224000,1.375000,2,2.000000,0.250000,1.000000
1.000000,1,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
1.000000,2,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
1.000000,3,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
1.000000,4,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
1.000000,5,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
1.000000,6,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
1.000000,7,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
1.000000,8,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
1.000000,9,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
1.000000,10,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
1.000000,11,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
1.000000,12,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
1.000000,13,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
1.000000,14,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
1.000000,15,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
1.000000,16,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
1.000000,17,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
1.000000,18,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
2.000000,0,round_robin,8.000000,8.224000,2.125000,2,2.000000,0.250000,1.000000
2.000000,1,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
2.000000,2,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
2.000000,3,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
2.000000,4,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
2.000000,5,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
2.000000,6,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
2.000000,7,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
2.000000,8,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
2.000000,9,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
2.000000,10,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
2.000000,11,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
2.000000,12,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
2.000000,13,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
2.000000,14,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
2.000000,15,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
2.000000,16,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
2.000000,17,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
2.000000,18,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
3.000000,0,round_robin,8.000000,8.224000,2.875000,2,2.000000,0.250000,1.000000
3.000000,1,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
3.000000,2,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
3.000000,3,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
3.000000,4,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
3.000000,5,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
3.000000,6,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
3.000000,7,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
3.000000,8,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
3.000000,9,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
3.000000,10,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
3.000000,11,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
3.000000,12,round_robin,2.000000,2.056000,0.000000,3,3.000000,0.250000,0.666667
3.000000,13,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
3.000000,14,round_robin,2.000000,2.056000,0.000000,2,2.000000,0.250000,1.000000
